pdf_file,provisions,statutes,precedents
H_P_Ranjanna_vs_Union_Of_India_on_30_July_2021.PDF,"['Article 21 of Constitution', 'Article 51A(g) of Constitution', 'Article 48A read with Article 243W Schedule 12 of Constitution', 'Article 51 A (g) of Constitution', 'Article 32 of Constitution', 'Entry 13 of Schedule VII List I of Constitution', 'Article 48A of Constitution', 'Article 14 of Constitution', 'Section 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010', 'Section 18 of National Green Tribunal Act, 2010', 'Section 20 of National Green Tribunal Act, 2010', 'Section 16(h) of NGT Act, 2010', 'Section 25 of Water Act, 1974', 'Section 3(3) of EP Act, 1986', 'Section 321 of KMC Act, 1976', 'Section 321 (1) & (2) of KMC Act, 1976', 'section 321(3) of KMC Act, 1976', 's 25 of Water Act, 1974', 'Condition no. 46 of EC', 'Condition no. 5 of General Conditions of EC; v) of Zoning Regulations,', 'Section 505 (ii) of KMC Act, 1976', 'Condition no. 45 of EC', 'Condition no. 49 of EC', 'Section 300 of KMC Act, 1976', 'Part 3 of National Building Code)', 'Part 4 of National Building Code)', 'Part 3 of NBC 2016 (National Building Code)', 'Part 4 of NBC 2016 (National Building Code)', 'Part 4 of Fire and Life Safety and Local Zoning Regulations', 'Section 505 of KMC Act, 1976', 'Sections 321 (1) and (2) and 321 (3) of KMC Act, 1976', 'Section 14 of NGT Act, 2010', 'Section 15 of NGT Act, 2010', 'Section 5 of EP Act, 1986', 'Section 24 of Water Act, 1974', 'Rule 4 of Wetland Rules, 2017', 'Section 321(1) and (2) of KMC Act, 1976', 'Section 300 of KMC Act', 'Regulation No. 4.12.1 of Karnataka Town and Country Planning Act, 1961', 'Regulation framed of Karnataka Town and Country Planning Act, 1961', 'Section 505(ii) of KMC Act, 1976', 'section 5 of Environment (Protection) Act, 1986 (Protection) Act, 1986 1', 'Section 24 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 22 of NGT Act, 2010', 'Rule 4 of Wetlands Rules, 2017', 'Section 25 of Water (Prevention and Control of Pollution) Act, 1974', 'Rule 4 (vi) of Wetland Rules 2017', 'Section 288A of Karnataka Municipal Corporation Act, 1976', 'Section 288(1)(c) of Karnataka Municipal Corporation Act, 1976', 'Section 288 (1) (c) of KMC Act, 1976', 'Section 288A of KMC Act, 1976', 'Section 288(1)(C) of KMC Act, 1976', 'sub-rule (2) of Environment (Protection) Act, 1986 (29 of 1986)', 'Rule 3 of Wetland Rules, 2017', 'Rule 4 of Wetland Rules, 2010', 'Rule 7 of Wetland Rules, 2017', 'Rule 5 of Wetland Rules, 2010', 'Rule 4 of Wetlands (Conservation and Management) Rules, 2010', 'Rule 5 of Wetland Rules, 2017', 'Rule 6 of Wetland Rules, 2017', 'section 17 of KTCP Act, 1961', 'sec 32 of BDA Act, 1976', 'Section 100 of Code of Civil Procedure', 'Section 22 of ―CPC\x81', 'Section 16 of NGT Act, 2010', 'Schedule I of NGT Act, 2010', 'Section 20 of NGT Act, 2010', 'Section 15(1)(c) of NGT Act, 2010', 'Section 33 of NGT Act, 2010', 'Section 14(a) of KTCP Act, 1961', 's 14(a) of Karnataka Town and Country Planning Act, 1961', 's 136 (3) of Land Revenue Act, 1964', 's 18 of KARNATAKA TOWN and COUNTRY PLANNING Act, 1961', 'Section 3(1) of EP Act, 1986', 'Section 6 of EP Act, 1986', 'Section 25 of EP Act, 1986', 'Section 3(1)(2)(v) of EP Act, 1986', 'Rule 5(3)(d) of EP Rules, 1986', 'sub-Section (3) of Section 3 of EP Act, 1986', 'Section 3(1) read with (2)(v) of EP Act, 1986', 'Section 16 of NGT Act 2010', 'Item 8 of Schedule of EIA 2006', 'Part 3 of Development Control rules', 'Item 8 Schedule of EC 2006', 'Rule 2.13 of Development Control Rules for Pune Municipal Corporation, 1982', 'Rule 5(3) of EP Rules, 1986', 'item 8 of EIA 2006', 'Rule 4 of Wetland, 2010', 'Section 12, Explanation of KTCP Act, 1961', 'Section 288 of KMC Act, 1976', 'Section 288(1)(c) of KMC Act, 1976', 'Section 25 of Water Act', 'Section 25 of Water (Prevention and Control of Pollution) Act', 'Rule 4 of Wetlands Rules, 2010', 'entry 8 (a) and (b) of Schedule of EIA 2006', 'section 5 of EP Act, 1986', 'Rule 4 of Wetland Rules 2017', 'Rule 2(e) of EP Act, 1986', 'Sub-rule 1 of Rule 4 of Wetland Rules 2017', 'Sub-rule 2 of Rule 4 of Wetland Rules 2017', 'Sub-rule 3 of Rule 4 of Wetland Rules 2017', 'section 25 of Water (Prevention and Control of Pollution) Act, 1974', 'Rule 2 of EP Act, 1986', 'Sub- rule (ii) of Rule 5 of Wetland Rules, 2010', 'Rule 5 sub-rule (4) of E-Waste (Management) Rules, 2016', 'sub-rule (i) of Environment (Protection) Act, 1986 (29 of 1986)', 'sub-rule (2) of Rule 7 of Wetland Rules, 2017', 'Rule 2(g) of EP Act, 1986', 'Rule 2(j) of EP Act, 1986', 'section 15(1)(a) of NGT Act, 2010', 'Section 15(1)(b) of NGT Act, 2010', 'Section 15(1)(a) of NGT Act, 2010', 'Section 15, five years of NGT Act, 2010', 'Sub-section (2) of Section (3) of KMC Act, 1976', 'section 3 of EP Act, 1986', 'Clause (i) to (x) of Section 5(1) of EP Act, 1986', 'sub-section (2) of Section 5 of EP Act, 1986', 'Clause (v) of para 8 of EP Act, 1986', 'Appendix II of EP Act, 1986', 'Item 8 of EIA 2006', 'para 8(ii) of EP Act, 1986', 'Section 288 (1) of KMC Act, 1976', 'Rule 2.39 of Development Control Rules for Pune Municipal Corporation, 1982', 'Rule 15.4.2 of Development Control Rules for Pune Municipal Corporation, 1982', 'Rules 2017 of National Wetland Inventory Assessment', 'Regulation 4.12.1 (ii)(iii) of Wetland Rules, 2017', 'Item 8(b) of EIA 2006', 'Section 299 of BBMP Building Bye-laws, 2003', 'Section 304 of BBMP Building Bye-laws, 2003', 'Section 312 of BBMP Building Bye-laws, 2003', 'Schedule II of BBMP Building Bye-laws, 2003', 'Schedule-II of BBMP Building Bye-laws, 2003', 'Part A, Clauses 47, 49 and 50 of Water (Prevention and Control of Pollution) Act, 1974', 'STP 236.05 of Civic Amenities Site Building Plan', 'Block-I of Wetlands Rules, 2017', 'B2 Category of Wetland Rules 2017', 'rule 6 of Environment (Protection) Act, 1986', 'Rule 5 sub-rule (i) of E-Waste (Management) Rules, 2016', 'Rule 6 (1) of E-Waste (Management) Rules, 2016', 'Rule 6 sub-rule 3 of E-Waste (Management) Rules, 2016', 'Chapter 3.0 of Wetlands (Conservation and Management) Rules, 2010', 'Chapter 4 of Karnataka Cinematography Act', 'SCC 462 of Wetland Rules, 2017', 'SCC 118 of Wetland Rules, 2017', 'SCC 784 of Wetland Rules, 2017', 'Schedule 1 of NGT Act, 2010', 'Section 2(v) of EP Act, 1986', 'item 8 of the Schedule of EP Act, 1986', 'clause (iii) of para 8 of EP Act, 1986', 'item 8(a) of EIA 2006', 'item 8(b) of EIA 2006', 'Appendix VIII of EIA 2006', 'sub items 8(a) and (b) of Air (Prevention and Control of Pollution) Act, 1981', 'Appendix IIIA of EP Rules, 1986', 'Clause (vi) of paragraph 8 of EIA 2006', 'SCC 63 of EC', 'Block 2 of EIA 2006', 'Appendix 1, Form 1 Clause (I) of CFE', 'Rules 2010 of National Wetland Inventory Assessment', 'clause (II)-Activity of Appendix 1, Form 1 of National Wetland Inventory Assessment', 'Clause 4.12.1 of National Wetland Inventory Assessment', 'Clause 4.12.2 (i) (ii) of National Wetland Inventory Assessment', 'Clause 7(i) of KTCP Act, 1961', 'Clause (1) of KTCP Act, 1961', 'Entry 30 of Schedule 7 of KMC Act, 1976', 'Entry 1 of KMC Act, 1976']","['―CPC\x81', 'EPA, 1986', 'Electricity Act, 2003', 'KTCP Act, 1961', 'NBC 2016 ', 'EP Act', 'Environment  Act, 1986', 'EC', 'Environment  Act', 'EP Act, 1986', 'EIA Notification, 2006', 'EP Rules, 1986', 'Wetlands Rules, 2017', 'EIA Notification, 2006 71.The']","[H.P. Ranjanna vs Union Of India on 30 July, 2021 Indian Kanoon, United Nations Conference on Human Environment held at, Lobsang Choedar vs. Union of India and Ors, Goa Foundation & Another vs. Union of India & Others, Motion v. State of Karnataka and Ors., OA No. 125/2017, Mahadevpura Parisara Samrakshane Mattu Abhivrudhi Samiti v. Union of India & Ors, Anirudh Kumar v. MCD, (2015) 7, Goel Ganga Developers India Pvt. Ltd. v. Union of India & Ors., (2018), Hinch Lal Tiwari v. Kamala Devi, (2001) 6, M.C. Mehta v. Union of India, (2004) 12 SCC 118, M.C. Mehta v. Union of India, WP(C) No. 4766/1985, Ramesh Kumar vs. Mahadevpura Parisara Samrakshane Mattu Abhivrudhi Samiti (MAPSAS) & Ors., Forward Foundation vs. State of Karnataka and Ors, SJR Water water harvesting H.P. Ranjanna vs Union Of India, H. P. Ranjana v. Union of India & Ors., OA 281/2019, Hanuman Laxman Aroskar v. Union of India, (2019) 15 SCC 401, M.K. Balakrishnan vs. Union of India, Writ Petition No. 230 of 2001, (2017) 7 SCC 810, M.C. Mehta v. Union Of India & Ors, (1996) 8, M.C. Mehta v. Union of India, (2009) 6, Pradeep Krishen v. Union of India, (1996) 8, Tata Housing Development Co. Ltd. v. Aalok Jagga & Ors., (2020) 15, Mantri Techzone Private Limited v. Forward Foundation & Ors., (2019) 18 SCC 494, Federation of Rainbow Warriors vs. Union of India & Ors, Shreeranganathan K P v Union of India; (2014) SCC Online NGT 15, Bengaluru Development Authority v. Sudhakar Hegde & Ors.; (2020) 15]"
Jagannath_Pandurang_Sinnari_vs_Seiaa_on_28_February_2023.PDF,"['Section 5 of Environment (Protection) Act, 1986', 'Section 16 of National Green Tribunal Act, 2010', 'Section 25 of Water (Prevention & Control of Pollution) Act, 1974', 'Section 26 of Water (Prevention & Control of Pollution) Act, 1974', 'Section 21 of Air (Prevention and Control of Pollution) Act, 1981', 'Section 23(c) of Mines and Mineral (Development and Regulation) Act (MMDR Act)', 'Section 15(1) of NGT Act', 'Section 14 of Air (Prevention and Control of Pollution) Act, 1981']","['Environment  Act', 'Environment  Act, 1986']","[Jagannath Pandurang Sinnari vs Seiaa on 28 February, 2023 Indian Kanoon, Collector, Sindhudurg Jagannath Pandurang Sinnari vs Seiaa, Veterans Forum for Transparency in Public Life Vs]"
Joydeep_Mukherjee_S_O_Late_vs_Union_Of_India_Through_Secretary_on_31_January_2022.PDF,"['Article 243-W of Constitution', 'Article 243-X of Constitution', 'Article 243-Y of Constitution', 'Section 26 of NGT Act', 'Section 28 of NGT Act', 'Section 25 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 42(2) of Water (Prevention and Control of Pollution) Act, 1974', 'Section 44 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 48 of Water (Prevention and Control of Pollution) Act, 1974', 'Item 6 of Schedule XII of Water (Prevention and Control of Pollution) Act, 1974']","['Environment  Rules, 1986', 'Environment  Act']",[M.C. Mehta Vs Union of India- W.P. (Civil) No. 13029/1985]
Kaiga_Anuvidyut_Sthawarad_vs_Nuclear_Power_Corporataion_Of_India_Ltd_on_30_September_2022.PDF,"['Unit 5 of KAPP', 'Unit 6 of KAPP', 'Unit 1 of KAPP', 'Unit 2 of KAPP', 'Unit 3 of KAPP', 'Unit 4 of KAPP', 'Section 5 of Environment (Protection) Act, 1986', 'Section 5 of Environment (Protection) Act', 'Rule 5(4) of Environment (Protection) Rules, 1986', 'Rule (7) of EIA Notification, 2006', 'Annexure A8/List of Red Category of Industry of EIA Notification, 2006', 'ISO/IS - 14001 of Atomic Energy Act, 1962', 'IS 18001 of Atomic Energy Act, 1962', 'Rule 4(5) of UNESCO World Natural Heritage List']","['Environmental Impact Assessment Notification, 2006', 'Environment  Rules, 1986', 'Environment Protection Act']","[Kaiga Anuvidyut Sthawarad vs Nuclear Power Corporataion Of India Ltd, Anuvidyut Sthawarad vs Nuclear Power Corporataion Of India Ltd, Western Ghats Ecology Expert Panel Kaiga Anuvidyut Sthawarad vs Nuclear Power Corporataion Of India Ltd, Hanuman Laxman Aroskar v. Union of India 2019 SCC Online SC 441, Indian Institute of Science, Kaiga Anuvidyut Sthawarad vs Nuclear Power Corporataion Of India Ltd, Government of India Kaiga Anuvidyut Sthawarad vs Nuclear Power Corporataion Of India Ltd, Western Kaiga Anuvidyut Sthawarad vs Nuclear Power Corporataion Of India Ltd, Goa Foundation Vs. Union of India (O.A. No.597 of 2018), Goa Foundation Vs. Union of India]"
Kanhaiya_Lal_Gadri_vs_Moef_on_29_July_2022.PDF,"['Article 32 of Constitution', 'Article 226/227 of Constitution', 'Article 32...\x81 (1962) 1 SCR 574 33 of Constitution', 'Chapter-8 of Land Acquisition Act, 1894', 'Section 19 of CPC', 'Sub-section 4 of Section 19 of NGT Act 2010', 'Section 11 of CPC', 'Section 2 of C.P.C.', 'Section 2 of Code of 1859', 'Section 16 of Bengal Regulation III of 1793', 'section 11 of Code of 1908', 'section 2 of Act VIII of 1859', 'Section 13 of 1877 Act', 'Section 11 of Act 14 of 1882', 'Section 11 of Act 5 of 1908', 'Section 11 of CPC, 1908', 'Section 11 of CPC 1908', 'Section 11 of C.P.C.', 'Explanation IV of Section 11 of C.P.C.', 'S. 11 of Code of Civil Procedure', 'Order XIV of CPC', 'Section 92 of C.P.C.', 'Explanation IV to Section 11 of C.P.C.', 'ExplanationIV Section 11 of CPC', 'Order 1 Rule 8 of C.P.C.', 'Section 30 of CPC 1877', 'Order I Rule 8 of CPC of 1908', 'Explanation VI to Section 11 of C.P.C.', 'Section 111 of Code of Civil Procedure 1908', 'Section 11 of Code of Civil Procedure 1908', 'Section 16 of National Green Tribunal Act, 2010', 'Section 16 of National Green Tribunal Act', 'section 13 of 1877 Act', 'ExplanationIV of CPC', 'Explanation VI Section 11 of CPC', 'S. 30 of CPC of 1908', 'Explanation III to Section 11 of C.P.C.', 'category A of item 5(a) of CPCB', 'Section V, verse 5) of Code of 1859', 'Explanation VII and VIII of Act 14 of 1882', 'Explanation VIII of CPC', 'Rule 1 of CPC', 'Section 11A of ―C.P.C.', 'Section 11A. 225 of C.P.C.', 'Explanation VI of C.P.C.', 'SCC 753 of National Green Tribunal Act']","['Environmental  Act, 1986', 'CPC, 1908', 'Himachal Pradesh Minor Mineral ', 'C.P.C.', 'CPCB', 'Act VIII of 1859', 'Environment  Act, 1986', 'Forest  Act, 1986', 'Town & Country Planning Act', 'Factories Act 1948', 'Indian Evidence Act, 1872 (1 of 1872', 'Environment Protection Act', 'Environmental Impact Assessment Notification, 2006', 'Code of Civil Procedure 1908', 'Factories Act-1948.', 'Code of 1908', 'Code of 1859']","[Kanhaiya Lal Gadri vs Moef on 29 July, 2022 Indian Kanoon - http://indiankanoon.org/doc/164453787/ 29, ―Corpus Juris Secundum (Vol. 50, para 735, p. 229), Appeal No. 17/2021 (University of Delhi Vs. MoEF&CC & Ors .), Sheoparsan Singh and others vs. Ramnandan Prasad 43 IA 91(PC)= 20, Commissioner of Central Excise vs. Shree Baidyanath Ayurved Bhawan Ltd. JT 2009 (6) SC 29, Hook vs. Administrator General of Bengal 1921 (ILR) 48 (Cal., Hope Plantations Ltd. vs. Taluk Land Board, Peermade, JT 1998 (7) SC 404, Sulochana Amma vs. Narayanan Nair, AIR 1994 SC 152, Saiyad Jaffar El Edroos vs. Saiyad Mahomed El Edroos AIR 1937 Bom, Union of India & Ors, 1992 (Suppl) 1, Kantaru Rajeevaru (Sabrimala Temple Review- 5J) v. Indian Young Lawyers Association, (2020) 2 SCC 1 (Constitution Bench), State of U.P. v. Nawab Hussain, (1977) 2, Sarguja Transport Service v. State Transport Appellate Tribunal, M.P., Gwalior, (1987) 1 SCC 5 (two-judge Bench) 21, Forward Construction Co. v. Prabhat Mandal (Regd.), (1986) 1 SCC 100, Somashekar Reddy [(1999) 1 KLD 500 : (2000) 1 Kant LJ 224 (DB), K Parasaran & Ors., AIR 1996 SC 2687, State of U.P. & Ors., (1999) 1 SCC 271]"
Kirtikumar_Sadashiv_Bhatt_vs_Narmada_Water_Resources_Water_Supply_on_31_October_2023.PDF,"['Article 243 W read with 12th Schedule of Constitution', 'Schedule I of MSW Rules, 2016', 'Rule 8(g) of Solid Waste Management Rules, 2016', 'Rule 14 of CPCB', 'Rule 8 of Solid Waste Management Rules, 2016', 'Rule 22 of Solid Waste Management Rules, 2016', 'SBM- U 2.0 of Water Act', 'Rule 5 of Solid Waste Management Rules, 2016', 'Rule 6 of Solid Waste Management Rules, 2016', 'Rule 7 of Solid Waste Management Rules, 2016', 'Rule 9 of Solid Waste Management Rules, 2016', 'Rule 10 of Solid Waste Management Rules, 2016', 'Rule 11 of Solid Waste Management Rules, 2016', 'Rule 12 of Solid Waste Management Rules, 2016', 'Rule 13 of Solid Waste Management Rules, 2016', 'rule 15 of CPCB', 'Rule 16 of CPCB', 'Rule 17 of CPCB', 'Rule 24 of CPCB', 'AMRUT 2.020 of CPCB']","['Indian Evidence Act, 1872 (1 of 1872', 'Indian Evidence Act, 1872', 'Indian Penal Code']",[K Kirtikumar Sadashiv Bhatt vs Narmada Water Resources Water Supply]
Krishna_Chandra_Santra_Others_vs_The_Chairman_Pollution_Control_Board_on_30_August_2022.PDF,"['Article 21 of Constitution', 'Section 4B of West Bengal Land Reforms Act, 1955', 'Section 4C(1) of West Bengal Land Reforms Act, 1955', 'Section 4C(2) of West Bengal Land Reforms Act, 1955', 'Section4C (5) of West Bengal Land Reforms Act, 1955', 'Section 4C (5) of West Bengal Land Reforms Act, 1955', 'Section 4C (5) of West Bengal Land Reforms Act', 'Section 4D of West Bengal Land Reforms Act, 1955', 'Section 4C of West Bengal Land Reforms Act, 1955']","['Indian Penal Code', 'Indian Telegraphic Act, 1885']","[Krishna Chandra Santra & Others vs The Chairman Pollution Control Board on 30 August, 2022 Indian Kanoon - http://indiankanoon.org/doc/76900010/ 13, MN Krishna Chandra Santra & Others vs The Chairman Pollution Control Board]"
K_M_Sajeev_Vijayan_vs_The_Chief_Secretary_Government_Of_on_31_March_2022.PDF,"['Section 5 of Environment (Protection) Act, 1986', 'Section 5 of Environment (Protection) Act']","['Indian Telegraphic Act, 1885']","[K M Sajeev Vijayan vs The Chief Secretary Government Of ... on 31 March, 2022 Indian Kanoon]"
K_Ramsingh_vs_State_Level_Environment_Impact_on_31_January_2022.PDF,"['Section 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010', 'Section 43 of Electricity Act, 2003', 'Section 10 of Indian Telegraph Act, 1885', 'Section 16 of Indian Telegraph Act, 1885', 'section 10 of Indian Telegraphic Act, 1885', 'section 16 of Indian Telegraphic Act, 1885', 'Sub- Section (3) Section 3 of Environment (Protection) Act, 1986', 'Section 10 of Indian Telegraphic Act, 1885', 'Section 16 of Indian Telegraphic Act, 1885', 'Section 16 of Indian Telegraphic Act, 1988', 'Section 17 of Indian Telegraphic Act, 1988', 'sub-Para (C) point (iv) of Environment (Protection) Act, 1986', 'Appendix-XI (8) of Environment (Protection) Act, 1986']","['Indian Telegraphic Act, 1885', 'Electricity Act, 2003', 'National Green Tribunal Act, 2010', 'Environment  Act, 1986', 'Indian Telegraph Act, 1885', 'Indian Telegraphic Act, 1988']","[K. Ramsingh vs State Level Environment Impact, Common Cause vs. Union of India2]"
Machindra_Mahadeo_Shinde_vs_Ministry_Of_Heavy_Industries_And_Public_on_31_March_2023.PDF,"['sections- 52 of Maharashtra Regional & Town Planning Act, 1966', 'sections- 53 of Maharashtra Regional & Town Planning Act, 1966', 'sections- 54 of Maharashtra Regional & Town Planning Act, 1966']","['Maharashtra Regional & Town Planning Act, 1966']",[Machindra Mahadeo Shinde vs Ministry Of Heavy Industries And Public]
Mangilal_Mewada_So_Madho_Singh_Mewada_vs_Jayshri_Gayatri_Food_Products_Pvt_Ltd_on_29_April_2022.PDF,"['s 33A of Water (P&CP) Act 1974', 'section 33 ""A"" of water (Prevention and Control of Pollution) Act 1974']","['Water  Act 1974', 'water  Act 1974']","[Madho Singh Mewada vs Jayshri Gayatri Food Products Pvt Ltd on 29 April, 2022 Indian Kanoon]"
Manish_Bhatnagar_vs_Ministry_Of_Environment_Forest_And_on_31_May_2023.PDF,"['Article 32 of Constitution', 'SCC 530 of EPCA']","['Bombay Provincial Municipal Corporation Act, 1949', 'EPCA']",[AB Manish Bhatnagar vs Ministry Of Environment Forest]
Meenava_Thanthai_K_R_Selvaraj_Kumar_vs_State_Of_Tamilnadu_on_31_August_2023.PDF,"['Schedule 1 of Biomedical Waste Management Rules, 2016', 'Section 5 of Environment (Protection) Act, 1986', 'Section 19 of Environment (Protection) Act, 1986', 'Section 5 of Environmental (Protection) Act, 1986', 'Item 8(a) of Biomedical Waste Management Rules, 2016', 'Item 8 of Biomedical Waste Management Rules, 2016', 'B2\x81 Category of Biomedical Waste Management Rules, 2016']","['Environmental  Act, 1986', 'Land Acquisition Act, 1894']",[]
Mr_Sanjay_Bhimashankar_Thobde_vs_Chairman_And_Directors_Shree_on_31_May_2023.PDF,"[' 15 of Environment (Protection) Act, 1986', ' 16 of Environment (Protection) Act, 1986', 'Section 15 of Environment (Protection) Act, 1986', 'Section 19 of Environment (Protection) Act, 1986', 'Section 33(A) of Water (Prevention & Control of Pollution) Act, 1974', 'Section 31(A) of Air (prevention & Control of Pollution) Act, 1981', 'Section 478 of Bombay Provincial Municipal Corporation Act, 1949', 'Section 33(A) of Water (Prevention and Control of Pollution) Act, 1974', 'Section 31(A) of Air (Prevention and Control of Pollution) Act, 1981', 'Rule 6 of EIA', 'item 5 (g) of Rules of 1994', 'Section 4 of Table-5 of CPCB', 'Section 6 of CPCB', 'category 5(j) of Hazardous and Other Waste (Management and Transboundary Movement) Rules, 2016', 'Section 3 of CPCB']","['Rules of 1994', 'Water  Act, 1974', 'Bombay Provincial Municipal Corporation Act, 1949', 'Environment  Act, 1986', 'EIA', 'Air  Act, 1981', 'Limitation Act, 1963', 'MSIHC Rules 1989']","[Sanjay Bhimashankar Thobde vs Chairman And Directors Shree, /s Goel Ganga Developers India Pvt. Ltd. vs. Union of India & Ors]"
Mr_Vivek_Sheshrao_Dhakane_vs_Maharashtra_Tourism_And_Development_on_28_April_2023.PDF,"['Rule 26 of National Green Tribunal Act, 2010', 'Rule 6 of Noise Pollution Control Rules, 2000', 'Rule 7 of Noise Pollution Rules', 'Section 19(b) of Environment Protection Act', 'Rule 8 of Noise Pollution Rules', 'Section 2 (b) of Contempt of Courts Act, 1971', 'Section 25 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 26 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 21 of Air (Prevention and Control of Pollution) Act, 1981', 'Rule 7(2) of Noise Pollution Rules', 'Article 21 of Air (Prevention and Control of Pollution) Act, 1981', 'Rule 5 of Noise Pollution Control Rules, 2000', 'Rule 3(5) of Noise Pollution (Regulation and Control) Rules, 2000', 'Section 3(2) of Noise Pollution (Regulation and Control) Rules, 2000']","['OMMC Rules, 2016', 'Maharashtra Factories Rules', 'MSIHC Rules 1989', 'Noise Pollution  Rules, 2000']","[Mr. Vivek Sheshrao Dhakane vs Maharashtra Tourism And Development, Vivek Sheshrao Dhakne v Maharashtra Tourism Development Corporation and Others)]"
M_S_Prestige_Holiday_Resorts_Llp_vs_Goa_State_Pollution_Control_Board_on_30_September_2021.PDF,"['Section 33(A) of Water (Prevention and Control of Pollution) Act, 1974']","['Water  Act, 1974']",[P.kr M S Prestige Holiday Resorts Llp vs Goa State Pollution Control Board]
Narayan_Motiram_Hindalekar_vs_Seiaa_on_28_February_2023.PDF,"['Section 5 of Environment (Protection) Act, 1986', 'Section 14 of National Green Tribunal Act, 2010', 'Section 16 of National Green Tribunal Act, 2010', 'Section 23(c) of Mines and Mineral (Development and Regulation) Act (MMDR Act)', 'Section 15(1) of NGT Act']","['Mines and Mineral  Act ', 'Mineral Concession Rule, 1960', 'Environment  Act, 1986']","[Narayan Motiram Hindalekar vs Seiaa on 28 February, 2023 Indian Kanoon, Veterans Forum for Transparency in Public Life Vs]"
National_Green_Tribunal_Southern_Zone_vs_Engineer_In_Chief_Water_Resources_on_29_October_2021.PDF,"['Section 133 of Criminal Procedure Code', 'Section 25 of National Green Tribunal Act, 2010', 'Section 28 of National Green Tribunal Act, 2010']",['Mines and Mineral  Act '],"[National Green Tribunal Southern Zone vs Engineer In Chief (Water Resources ... on 29 October, 2021, National Green Tribunal Southern Zone vs Engineer In Chief (Water Resources]"
National_Green_Tribunal_Southern_Zone_vs_The_Chief_Secretary_To_Govt_Of_on_24_December_2021.PDF,"['rule 15 (r) of Solid Waste Management Rules, 2016', 'rule 15 (zh) of Solid Waste Management Rules, 2016', 'Rules 3 of Biomedical Waste Management Rules 2016']","['Mines and Minerals  Act, 1957']",[National Green Tribunal Southern Zone vs The Chief Secretary To Govt. Of]
National_Green_Tribunal_Southern_Zone_vs_The_Chief_Secretary_To_Govt_Of_on_31_May_2022.PDF,"['s 277 of Indian Penal Code', 'Article 48(A) of Constitution', 'Article 21 of Constitution', 'Section 33A of Water(Prevention and Control of Pollution) Act 1974']","['Mines and Minerals  Act, 1957']","[National Green Tribunal Southern Zone vs The Chief Secretary To Govt, Public National Green Tribunal Southern Zone vs The Chief Secretary To Govt, Municipal Admin National Green Tribunal Southern Zone vs The Chief Secretary To Govt]"
National_Green_Tribunal_Southern_Zone_vs_The_Principal_Secretary_To_Government_on_29_July_2022.PDF,"['Article 48 (A) of Constitution', 'Article 21 of Constitution', 'Article 48(A) of Constitution', 'section 3,6 of Environment (Protection) Act, 1986 (Central Act 29 of 1986)', 'section 25 of Environment (Protection) Act, 1986 (Central Act 29 of 1986)', 'section 349 of Chennai City Municipal Corporation Act, 1919 (Tamil Nadu Act IV of 1919)', 'Rule 15 of Solid Waste Management Rules, 2016', 'Part IV - Section 1 of Tamil Nadu Government Gazette Extraordinary', 'Part IV - Section 2 of Tamil Nadu Government Gazette Extraordinary', 'SECTION 349 of CHENNAI CITY MUNICIAPL CORPORATION ACT, 1919 (TAMIL ANDU ACT IV OF 1919', 'RULE 15 of SOLID WASTE MANAGEMENT RULES, 2016', 'Schedule IV of Solid Waste Management (SWM) Rules, 2016']","['Municipal Solid Waste  Rules, 2000', 'SOLID WASTE MANAGEMENT RULES, 2016', 'Solid Waste Management Rules, Waste Management Rules, 2016', 'CHENNAI CITY MUNICIAPL CORPORATION ACT, 1919 (TAMIL ANDU ACT IV OF 1919', 'Constitution', 'NGT Act', 'Tamil Nadu Government Gazette Extraordinary', 'Environment  Act, 1986 ']",[Korattur People's Welfare & Association Trust vs. Government of India and others]
National_Green_Tribunal_Southern_Zone_vs_The_Principal_Secretary_To_Government_on_30_August_2022.PDF,"['Article 48(A) of Constitution', 'Article 48 (A) of Constitution', 'Article 21 of Constitution', 'Division 188 of Solid Waste/Liquid Waste/other Waste Management Rules']",['NGT Act'],[National Green Tribunal Southern Zone vs The Principal Secretary To Government]
National_Green_Tribunal_Southern_Zone_vs_The_Secretary_To_Govt_Of_Tamil_Nadu_on_29_January_2021.PDF,"['Section 25 of National Green Tribunal Act, 2010', 'Section 26 of National Green Tribunal Act, 2010']",['NGT Act'],[National Green Tribunal Southern Zone vs The Secretary To Govt]
